Date,Time,Type of Transaction,Description,Asset Sent(SYMBOL),Asset Received(SYMBOL),Fee Paid In(SYMBOL),Quantity of Fee Paid,Quantity of Tds Paid
2022-10-15,11:37:55,Buy with INR,limit,trx,INR,,,0.0 
206,0.0 

2022-10-16,06:27:47,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,06:29:10,Buy with INR,limit,trx,INR,trx,4.96,0.0 
2022-10-16,07:48:30,Buy with INR,limit,trx,INR,trx,6.648,0.0 
2022-10-16,07:45:09,Buy with INR,limit,trx,INR,trx,0.114,0.0 
2022-10-16,09:58:46,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,09:59:56,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,09:59:36,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,08:14:46,Buy with INR,limit,trx,INR,trx,1.272,0.0 
2022-10-16,10:00:25,Buy with INR,limit,trx,INR,trx,0.074,0.0 
2022-10-16,10:01:20,Buy with INR,limit,trx,INR,trx,0.4,0.0 
2022-10-16,10:00:47,Buy with INR,market,trx,INR,trx,0.264,0.0 
2022-10-16,10:01:06,Buy with INR,limit,trx,INR,trx,2.396,0.0 
2022-10-16,10:03:10,Buy with INR,market,trx,INR,trx,0.636,0.0 
2022-10-16,10:10:28,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,10:03:18,Buy with INR,market,trx,INR,trx,0.704,0.0 
2022-10-16,10:14:14,Buy with INR,market,trx,INR,trx,0.054,0.0 
2022-10-16,10:14:55,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-16,10:11:46,Buy with INR,market,trx,INR,trx,0.154,0.0 
2022-10-16,10:16:20,Buy with INR,market,trx,INR,trx,3.844,0.0 
2022-10-16,10:11:17,Buy with INR,limit,trx,INR,trx,0.04,0.0 
2022-10-16,10:16:01,Buy with INR,market,trx,INR,trx,3.772,0.0 
2022-10-16,10:17:17,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,10:17:00,Buy with INR,limit,trx,INR,trx,7.604,0.0 
2022-10-16,11:02:23,Buy with INR,market,trx,INR,trx,2.878,0.0 
2022-10-16,10:16:26,Buy with INR,market,trx,INR,trx,0.208,0.0 
2022-10-16,10:17:50,Buy with INR,limit,trx,INR,trx,1.546,0.0 
2022-10-16,11:02:41,Buy with INR,market,trx,INR,trx,3.064,0.0 
2022-10-16,11:00:47,Buy with INR,limit,trx,INR,trx,4.492,0.0 
2022-10-16,11:02:52,Buy with INR,limit,trx,INR,trx,0.19,0.0 
2022-10-16,11:03:40,Buy with INR,limit,trx,INR,trx,4.382,0.0 
2022-10-16,11:03:01,Buy with INR,market,trx,INR,trx,0.146,0.0 
2022-10-16,11:07:03,Buy with INR,market,trx,INR,trx,0.228,0.0 
2022-10-16,11:07:12,Buy with INR,market,trx,INR,trx,0.392,0.0 
2022-10-16,11:03:27,Buy with INR,market,trx,INR,trx,0.382,0.0 
2022-10-16,11:07:31,Buy with INR,market,trx,INR,trx,0.398,0.0 
2022-10-16,11:07:42,Buy with INR,market,trx,INR,trx,1.328,0.0 
2022-10-16,11:07:38,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-16,11:08:12,Buy with INR,market,trx,INR,trx,0.362,0.0 
2022-10-16,11:08:45,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,11:09:10,Buy with INR,limit,trx,INR,trx,0.108,0.0 
2022-10-16,11:07:58,Buy with INR,market,trx,INR,trx,1.404,0.0 
2022-10-16,11:09:29,Buy with INR,market,trx,INR,trx,2.93,0.0 
2022-10-16,11:53:51,Buy with INR,market,trx,INR,trx,0.228,0.0 
2022-10-16,11:11:33,Buy with INR,market,trx,INR,trx,1.852,0.0 
2022-10-16,11:11:48,Buy with INR,limit,trx,INR,trx,4.068,0.0 
2022-10-16,11:54:27,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,11:54:44,Buy with INR,limit,trx,INR,trx,3.12,0.0 
2022-10-16,11:54:18,Buy with INR,market,trx,INR,trx,0.162,0.0 
2022-10-16,11:54:08,Buy with INR,market,trx,INR,trx,0.238,0.0 
2022-10-16,11:57:28,Buy with INR,market,trx,INR,trx,0.078,0.0 
2022-10-16,11:58:05,Buy with INR,market,trx,INR,trx,0.37,0.0 
2022-10-16,11:58:20,Buy with INR,market,trx,INR,trx,0.384,0.0 
2022-10-16,11:58:35,Buy with INR,market,trx,INR,trx,0.054,0.0 
2022-10-16,11:57:33,Buy with INR,market,trx,INR,trx,0.076,0.0 
2022-10-16,12:16:21,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:16:41,Buy with INR,limit,trx,INR,trx,2.278,0.0 
2022-10-16,12:17:13,Buy with INR,market,trx,INR,trx,0.286,0.0 
2022-10-16,12:18:57,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,11:58:46,Buy with INR,limit,trx,INR,,,0.0 
2022-10-16,12:17:00,Buy with INR,market,trx,INR,trx,2.474,0.0 
2022-10-16,12:19:36,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-16,12:21:42,Buy with INR,limit,trx,INR,trx,0.166,0.0 
